¿Con qué frecuencia practicas tu instrumento o canto?,¿Qué tipo de recursos utilizas para estudiar música?,¿Conoce estudios de grabación y de producción musical en la ciudad de Cali?,¿Ha asistido a estudios de grabación y/o de producción musical?,¿Por qué no asistes a estudios de grabación y/o de producción musical?,¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?,¿Que otras alternativas de estudios de grabación haz utilizado?,¿Que tan frecuente usa estos espacios?,¿Piensas que los estudios de grabación y/o de producción musical da espacio para conocer a personas que puedan ayudar a tu crecimiento profesional?,¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?.1,¿Crees que hay suficientes oportunidades para los estudiantes de música para conectarse con otros músicos y colaborar en proyectos?
Casi siempre,Libros;Videos,Sí,Sí,,,,A veces,Sí,No,No
Casi siempre,Libros;Videos,Sí,Sí,,,,Siempre,Sí,Sí,No
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
A veces,Videos,Sí,Sí,,,,A veces,Sí,No,No
Casi siempre,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Casi siempre,Libros;Videos,Sí,Sí,,,,A veces,Sí,Sí,No
Siempre,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
A veces,Videos;Paginas web,Sí,No,Por la poca adecuacion del espacio,No,En casa,,,No,No
A veces,Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,Sí
Casi siempre,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi nunca,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Videos,Sí,No,"No me he visto en la necesidad, lo que hago lo hago en mi home studio",No,En casa,,,No,No
A veces,Videos,Sí,Sí,,,,A veces,Sí,Sí,No
Casi nunca,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
A veces,Videos,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Casi siempre,Videos;Paginas web,No,No,"",Sí,En casa,,,Sí,Sí
Casi siempre,Libros;Videos,No,No,Por el costo;La ubicación del sitio,Sí,En casa,,,Sí,No
Casi siempre,Videos,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Videos;Paginas web,Sí,Sí,,,,Casi nunca,Sí,Sí,No
Siempre,Libros;Videos,Sí,No,Por el costo;La ubicación del sitio,No,En casa,,,No,Sí
Siempre,Videos,Sí,Sí,,,,A veces,Sí,No,Sí
Casi siempre,Videos,Sí,No,Por el costo,Sí,En casa,,,Sí,No
Casi siempre,Libros;Videos,Sí,Sí,,,,Casi nunca,Sí,Sí,Sí
A veces,Videos;Paginas web,Sí,Sí,,,,Casi nunca,Sí,Sí,No
A veces,Videos,No,No,Por el costo;Por la poca adecuacion del espacio,Sí,En casa,,,No,No
Siempre,Libros;Videos,Sí,Sí,,,,Casi nunca,Sí,No,Sí
A veces,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
A veces,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi nunca,Videos,Sí,Sí,,,,Siempre,Sí,No,No
Casi siempre,Libros;Videos,Sí,Sí,,,,Casi siempre,Sí,Sí,No
A veces,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Videos,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,Sí
Casi siempre,Videos,Sí,Sí,,,,Casi nunca,Sí,Sí,No
Casi siempre,Libros;Videos,Sí,Sí,,,,A veces,Sí,No,No
Casi siempre,Libros;Videos,Sí,Sí,,,,Siempre,Sí,Sí,No
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
A veces,Videos,Sí,Sí,,,,A veces,Sí,No,No
Casi siempre,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Casi siempre,Libros;Videos,Sí,Sí,,,,A veces,Sí,Sí,Sí
Siempre,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
A veces,Videos;Paginas web,Sí,No,Por la poca adecuacion del espacio,No,En casa,,,No,No
A veces,Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Casi siempre,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi nunca,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,Sí
Siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Videos,Sí,No,"",No,En casa,,,No,Sí
A veces,Videos,Sí,Sí,,,,A veces,Sí,Sí,No
Casi nunca,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
A veces,Videos,Sí,Sí,,,,Casi siempre,Sí,Sí,No
Casi siempre,Videos;Paginas web,No,No,No conozco,Sí,En casa,,,Sí,Sí
Casi siempre,Libros;Videos,No,No,Por el costo,Sí,En casa,,,Sí,No
Casi siempre,Videos,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Videos;Paginas web;Llamar a un amigo,Sí,Sí,,,,Casi nunca,Sí,Sí,No
Siempre,Libros;Videos,Sí,No,Por el costo;La ubicación del sitio,No,En casa,,,No,Sí
Siempre,Videos,Sí,Sí,,,,A veces,Sí,No,No
Casi siempre,Videos,Sí,No,Por el costo,Sí,En casa,,,Sí,No
Casi siempre,Libros;Videos,Sí,Sí,,,,Casi nunca,Sí,Sí,Sí
A veces,Videos;Paginas web,Sí,Sí,,,,Casi nunca,Sí,Sí,Sí
A veces,Videos,No,No,Por la poca adecuacion del espacio,Sí,En casa,,,No,No
Siempre,Libros;Videos,Sí,Sí,,,,Casi nunca,Sí,No,Sí
A veces,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
A veces,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Libros;Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi nunca,Videos,Sí,Sí,,,,Siempre,Sí,No,Sí
Casi siempre,Libros;Videos,Sí,Sí,,,,Casi siempre,Sí,Sí,No
A veces,Videos;Paginas web,Sí,Sí,,,,A veces,Sí,Sí,Sí
Casi siempre,Videos,Sí,Sí,,,,A veces,Sí,Sí,No
Casi siempre,Videos;Paginas web,Sí,Sí,,,,Casi siempre,Sí,Sí,Sí
Casi siempre,Videos,Sí,Sí,,,,Casi nunca,Sí,Sí,No
